id,trial,cond,round,arm,out
1,8,neg,13,6,17.2581087663
1,9,neg,13,7,12.3422947979
1,10,neg,13,8,6.2695282639
1,1,ran,14,5,41.6522625851
1,2,ran,14,6,30.4165752462
1,3,ran,14,7,8.7611619594
1,4,ran,14,8,25.2709731746
1,5,ran,14,5,41.8518992765
1,6,ran,14,6,30.2040144599
1,7,ran,14,7,8.1291779532
1,8,ran,14,8,25.0687403444
1,9,ran,14,5,41.7165331253
1,10,ran,14,6,30.6182885557
1,1,ran,15,5,46.2482368494
1,2,ran,15,5,46.4074563474
1,3,ran,15,6,28.3788093894
1,4,ran,15,6,28.1863811166
1,5,ran,15,7,15.9965918221
1,6,ran,15,8,40.3613239318
1,7,ran,15,8,40.4205430282
1,8,ran,15,8,40.3425514065
1,9,ran,15,8,40.1772174247
1,10,ran,15,8,40.3701780711
1,1,pos,16,5,29.764245881
1,2,pos,16,5,30.195502996
1,3,pos,16,5,29.8856816676
1,4,pos,16,5,29.9900206016
1,5,pos,16,5,30.0369274988
1,6,pos,16,6,35.2611817952
1,7,pos,16,7,40.3749614554
1,8,pos,16,8,45.7220544092
1,9,pos,16,7,40.5584365968
1,10,pos,16,6,34.4305418171
1,1,pos,17,5,30.0979721129
1,2,pos,17,6,35.6496457486
1,3,pos,17,7,41.123313138
1,4,pos,17,8,47.6156551212
1,5,pos,17,7,42.1555822486
1,6,pos,17,6,35.9742378668
1,7,pos,17,5,30.0002008886
1,8,pos,17,6,36.1181875973
1,9,pos,17,7,41.1972256212
1,10,pos,17,8,47.712506533
1,1,neg,18,5,20.9934045096
1,2,neg,18,6,15.9218762749
1,3,neg,18,7,10.770728067
1,4,neg,18,8,6.5069616084
1,5,neg,18,8,6.1538193614
1,6,neg,18,8,6.7776595865
1,7,neg,18,8,6.2212819992
1,8,neg,18,8,5.9273341144
1,9,neg,18,8,6.5896192739
1,10,neg,18,8,6.3363341519
1,1,ran,19,5,21.0221434964
1,2,ran,19,5,21.0581955798
1,3,ran,19,5,20.9953921849
1,4,ran,19,5,21.1477687313
1,5,ran,19,6,27.5502562896
1,6,ran,19,7,8.5125449361
1,7,ran,19,8,33.4391490516
1,8,ran,19,7,8.1939547447
1,9,ran,19,6,27.1489890191
1,10,ran,19,5,20.9032978564
1,1,neg,20,7,12.8206229439
1,2,neg,20,6,18.3909494269
1,3,neg,20,5,23.0961601798
1,4,neg,20,8,7.7220575217
1,5,neg,20,7,13.0183480526
1,6,neg,20,6,18.0506678461
1,7,neg,20,5,23.4949374882
1,8,neg,20,5,23.2511918947
1,9,neg,20,5,23.3895829709
1,10,neg,20,5,22.8330645179
1,1,neg,21,7,12.603388042
1,2,neg,21,5,24.4608589387
1,3,neg,21,8,6.3666288874
1,4,neg,21,6,18.3014904357
1,5,neg,21,5,24.4447759631
1,6,neg,21,7,12.4475855756
1,7,neg,21,6,18.2230750689
1,8,neg,21,8,6.3830870088
1,9,neg,21,1,48.1847056478
1,10,neg,21,4,29.6910931648
1,1,ran,22,2,12.4226598743
1,2,ran,22,4,23.5679877617
1,3,ran,22,5,17.9644572581
1,4,ran,22,5,18.1721006897
1,5,ran,22,6,45.2578781588
1,6,ran,22,6,46.2037045658
1,7,ran,22,4,23.4154256549
1,8,ran,22,1,6.8647315241
1,9,ran,22,1,6.5383980983
1,10,ran,22,2,12.1909894031
1,1,pos,23,6,32.4290864912
1,2,pos,23,6,32.4438673872
1,3,pos,23,6,32.4195784696
1,4,pos,23,2,8.4954071307
1,5,pos,23,1,2.1784365698
1,6,pos,23,4,20.1696173561
1,7,pos,23,8,44.6347711772
1,8,pos,23,8,44.8201289894
1,9,pos,23,8,44.677117839
1,10,pos,23,7,38.6961510198
1,1,pos,24,3,18.464776746
1,2,pos,24,1,6.8907226242
1,3,pos,24,5,29.8535485684
1,4,pos,24,7,40.9108679453
1,5,pos,24,2,12.8437577396
1,6,pos,24,3,18.3156208061
1,7,pos,24,1,6.7136906753
1,8,pos,24,4,23.7436865033
1,9,pos,24,5,30.366019694
1,10,pos,24,7,40.7810335893
1,1,ran,25,1,25.7261635211
1,2,ran,25,1,24.9949768085
