id,trial,rcond,cond,round,arm,out,block
2,4,ran,Random-Structure-Random,4,1,40.3904985647375,1
2,5,ran,Random-Structure-Random,4,1,40.160973706967,1
2,6,ran,Random-Structure-Random,4,1,40.447274456835,1
2,7,ran,Random-Structure-Random,4,1,40.3949542027174,1
2,8,ran,Random-Structure-Random,4,1,40.8155119131267,1
2,9,ran,Random-Structure-Random,4,1,40.4890430267523,1
2,10,ran,Random-Structure-Random,4,1,40.5214533341939,1
2,1,ran,Random-Structure-Random,5,2,32.9948722142604,1
2,2,ran,Random-Structure-Random,5,3,21.4712221507011,1
2,3,ran,Random-Structure-Random,5,8,4.23786673014334,1
2,4,ran,Random-Structure-Random,5,7,44.2097424143297,1
2,5,ran,Random-Structure-Random,5,7,44.1513455545811,1
2,6,ran,Random-Structure-Random,5,7,43.8300047685501,1
2,7,ran,Random-Structure-Random,5,7,44.3228343219992,1
2,8,ran,Random-Structure-Random,5,7,44.6565081207078,1
2,9,ran,Random-Structure-Random,5,7,44.7918604457179,1
2,10,ran,Random-Structure-Random,5,7,43.9344188920958,1
2,1,ran,Random-Structure-Random,6,2,38.406040808755,1
2,2,ran,Random-Structure-Random,6,3,7.13765932138686,1
2,3,ran,Random-Structure-Random,6,5,12.5466484437717,1
2,4,ran,Random-Structure-Random,6,6,17.0714753126927,1
2,5,ran,Random-Structure-Random,6,1,33.3572219927592,1
2,6,ran,Random-Structure-Random,6,2,38.9929156237224,1
2,7,ran,Random-Structure-Random,6,2,38.630433372476,1
2,8,ran,Random-Structure-Random,6,2,37.9701205478835,1
2,9,ran,Random-Structure-Random,6,2,39.3544080978157,1
2,10,ran,Random-Structure-Random,6,2,38.7150861330918,1
2,1,ran,Random-Structure-Random,7,1,39.7455257682498,1
2,2,ran,Random-Structure-Random,7,8,23.7210037464804,1
2,3,ran,Random-Structure-Random,7,7,33.800845255545,1
2,4,ran,Random-Structure-Random,7,1,39.374244381933,1
2,5,ran,Random-Structure-Random,7,1,39.3566979805387,1
2,6,ran,Random-Structure-Random,7,1,39.6923885001375,1
2,7,ran,Random-Structure-Random,7,1,39.0859304985425,1
2,8,ran,Random-Structure-Random,7,1,39.7110048663316,1
2,9,ran,Random-Structure-Random,7,1,39.5501861270319,1
2,10,ran,Random-Structure-Random,7,1,39.3121508897478,1
2,1,ran,Random-Structure-Random,8,7,24.7665036494134,1
